Id CustomerId Surname Score Geography Gender Age
1 15634602 Hargrave 619 France Female 42
2 15647311 Hill 608 Spain Female 41
3 15619304 Onio 502 France Female 42
4 15701354 Boni 699 France Female 39
5 15737888 Mitchell 850 Spain Female 43
6 15574012 Chu 645 Spain Male 44
7 15592531 Bartlett 822 France Male 50
8 15656148 Obinna 376 Germany Female 29
9 15792365 He 501 France Male 44
10 15592389 H? 684 France Male 27
11 15767821 Bearce 528 France Male 31
12 15737173 Andrews 497 Spain Male 24
13 15632264 Kay 476 France Female 34
14 15691483 Chin 549 France Female 25
15 15600882 Scott 635 Spain Female 35
16 15643966 Goforth 616 Germany Male 45
17 15737452 Romeo 653 Germany Male 58
18 15788218 Henderson 549 Spain Female 24
19 15661507 Muldrow 587 Spain Male 45
20 15568982 Hao 726 France Female 24
21 15577657 McDonald 732 France Male 41
22 15597945 Dellucci 636 Spain Female 32
23 15699309 Gerasimov 510 Spain Female 38
24 15725737 Mosman 669 France Male 46
25 15625047 Yen 846 France Female 38
26 15738191 Maclean 577 France Male 25
27 15736816 Young 756 Germany Male 36
28 15700772 Nebechi 571 France Male 44
29 15728693 McWilliams 574 Germany Female 43
30 15656300 Lucciano 411 France Male 29
31 15589475 Azikiwe 591 Spain Female 39
32 15706552 Odinakachukwu 533 France Male 36
33 15750181 Sanderson 553 Germany Male 41
34 15659428 Maggard 520 Spain Female 42
35 15732963 Clements 722 Spain Female 29
36 15794171 Lombardo 475 France Female 45
37 15788448 Watson 490 Spain Male 31
38 15729599 Lorenzo 804 Spain Male 33
39 15717426 Armstrong 850 France Male 36
40 15585768 Cameron 582 Germany Male 41
41 15619360 Hsiao 472 Spain Male 40
42 15738148 Clarke 465 France Female 51
43 15687946 Osborne 556 France Female 61
44 15755196 Lavine 834 France Female 49
45 15684171 Bianchi 660 Spain Female 61
46 15754849 Tyler 776 Germany Female 32
47 15602280 Martin 829 Germany Female 27
48 15771573 Okagbue 637 Germany Female 39
49 15766205 Yin 550 Germany Male 38
50 15771873 Buccho 776 Germany Female 37
