Id CustomerId Surname Score Geography Gender
51 15638494 Salinas 625 Germany Female
52 15763874 Ho 635 Spain Male
53 15696355 Cleveland 724 Germany Male
54 15655952 Burke 550 France Male
55 15739850 Trentino 645 France Male
56 15611338 Kashiwagi 714 Spain Male
57 15707861 Nucci 520 France Female
58 15672237 Oluchi 633 France Male
59 15657771 Ts'ui 537 France Male
60 15677783 Graham 764 Spain Male
61 15681026 Lucciano 795 Germany Female
62 15566543 Aldridge 573 Spain Male
63 15594612 Flynn 702 Spain Male
64 15814664 Scott 740 Germany Male
65 15642785 Douglas 479 France Male
66 15690164 Shao 627 Germany Female
67 15590213 Ch'en 479 Spain Male
68 15603794 Pugliesi 623 France Male
69 15733491 McGregor 512 Germany Female
70 15806360 Hou 609 France Male
71 15587133 Thompson 518 France Male
72 15721377 Chou 833 France Female
73 15747927 Ch'in 758 France Male
74 15806455 Miller 611 France Male
75 15695474 Barker 583 France Male
76 15666295 Smith 610 Germany Male
77 15656062 Azikiwe 637 France Female
78 15579969 Mancini 683 France Female
79 15703563 P'eng 774 France Male
80 15692664 Diribe 677 France Female
81 15719276 T'ao 741 Spain Male
82 15672754 Burbidge 498 Germany Male
83 15768163 Griffin 655 Germany Female
84 15656710 Cocci 613 France Male
85 15696175 Echezonachukwu 602 Germany Male
86 15586914 Nepean 659 France Male
87 15581736 Bartlett 673 Germany Male
88 15588839 Mancini 606 Spain Male
89 15589329 Pirozzi 775 France Male
90 15605622 McMillan 841 Spain Male
91 15798964 Nkemakonam 714 Germany Male
92 15769959 Ajuluchukwu 597 France Female
93 15657105 Chukwualuka 726 Spain Male
94 15569266 Rahman 644 France Male
95 15719294 Wood 800 France Female
96 15606229 Obijiaku 771 France Male
97 15569892 Johnstone 516 France Male
98 15584532 Liu 709 France Female
99 15682355 Sabbatini 772 Germany Male
100 15628319 Walker 792 France Female
